iter	Passed	Remaining
1559	3863	6043
1560	3866	6041
1561	3868	6038
1562	3871	6036
1563	3874	6034
1564	3876	6031
1565	3879	6030
1566	3882	6028
1567	3885	6026
1568	3887	6023
1569	3890	6020
1570	3892	6018
1571	3895	6016
1572	3897	6014
1573	3900	6012
1574	3903	6009
1575	3904	6005
1576	3906	6002
1577	3909	6000
1578	3911	5997
1579	3914	5995
1580	3916	5992
1581	3919	5990
1582	3921	5987
1583	3923	5984
1584	3925	5981
1585	3928	5980
1586	3931	5977
1587	3933	5975
1588	3936	5972
1589	3938	5969
1590	3940	5967
1591	3943	5965
1592	3946	5962
1593	3948	5960
1594	3951	5957
1595	3953	5955
1596	3956	5953
1597	3959	5951
1598	3962	5949
1599	3964	5947
1600	3967	5945
1601	3970	5943
1602	3973	5941
1603	3976	5939
1604	3978	5937
1605	3981	5934
1606	3984	5932
1607	3986	5930
1608	3989	5928
1609	3992	5926
1610	3995	5924
1611	3997	5922
1612	4000	5920
1613	4002	5917
1614	4005	5915
1615	4008	5913
1616	4011	5911
1617	4013	5909
1618	4016	5906
1619	4018	5903
1620	4020	5900
1621	4023	5898
1622	4026	5896
1623	4029	5895
1624	4031	5892
1625	4033	5889
1626	4035	5885
1627	4037	5883
1628	4040	5880
1629	4042	5878
1630	4044	5875
1631	4047	5872
1632	4049	5869
1633	4051	5866
1634	4054	5864
1635	4056	5861
1636	4059	5859
1637	4061	5856
1638	4064	5854
1639	4066	5851
1640	4068	5849
1641	4071	5847
1642	4074	5845
1643	4076	5842
1644	4079	5839
1645	4081	5837
1646	4083	5834
1647	4086	5831
1648	4087	5827
1649	4090	5825
1650	4092	5822
1651	4094	5820
1652	4097	5817
1653	4098	5812
1654	4100	5810
1655	4103	5807
1656	4105	5805
1657	4107	5802
1658	4110	5799
1659	4112	5796
1660	4114	5793
1661	4116	5790
1662	4119	5788
1663	4121	5786
1664	4123	5783
1665	4126	5780
1666	4128	5777
1667	4130	5774
1668	4132	5771
1669	4135	5769
1670	4137	5766
1671	4139	5763
1672	4141	5761
1673	4144	5758
1674	4146	5755
1675	4148	5752
1676	4150	5749
1677	4153	5746
1678	4155	5744
1679	4157	5741
1680	4160	5738
1681	4162	5735
1682	4164	5733
1683	4167	5731
1684	4170	5729
1685	4172	5726
1686	4174	5724
1687	4177	5721
1688	4179	5718
1689	4181	5715
1690	4183	5712
1691	4186	5710
1692	4188	5707
1693	4190	5704
1694	4192	5701
1695	4194	5697
1696	4196	5694
1697	4199	5692
1698	4202	5690
1699	4204	5687
1700	4206	5685
1701	4209	5683
1702	4211	5680
